City ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
7,Vaini,TO,77.16,-21.2,-175.2,drizzle,Keleti Beach Resort
8,Roura,GF,76.91,4.7263,-52.3274,few clouds,Amazonie Découverte SARL
11,Sambava,MG,78.12,-14.2667,50.1667,clear sky,Melrose
15,Vila Velha,BR,76.95,-20.3297,-40.2925,broken clouds,Hotel Vitória Palace
24,Ternate,ID,85.37,0.8,127.4,scattered clouds,Sahid Bela Ternate Hotel
33,Ouricuri,BR,79.29,-7.8825,-40.0817,broken clouds,Sertão Pousada
34,Bambous Virieux,MU,78.22,-20.3428,57.7575,scattered clouds,Casa Tia Villa
48,Kokopo,PG,84.72,-4.352,152.2633,broken clouds,Kokopo Beach Bungalow Resort
51,Sinnamary,GF,78.13,5.3833,-52.95,few clouds,ALETHEIA Appartement Sinnamary
58,Butaritari,KI,80.89,3.0707,172.7902,scattered clouds,Isles Sunset Lodge
60,Teluknaga,ID,87.84,-6.0989,106.6381,heavy intensity rain,Teluk Naga Seliong
61,Hithadhoo,MV,81.54,-0.6,73.0833,overcast clouds,Scoop Guest House
62,Kapaa,US,78.78,22.0752,-159.319,light rain,Sheraton Kauai Coconut Beach Resort
69,Dingle,PH,86.34,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
75,Georgetown,MY,84.13,5.4112,100.3354,light rain,Cititel Penang
79,Daru,PG,81.54,-9.0763,143.2092,overcast clouds,Daru Lodge
84,Iracoubo,GF,78.67,5.4802,-53.2011,few clouds,Le Gîte d’Iracoubo
100,Saint-Philippe,RE,78.39,-21.3585,55.7679,broken clouds,Le four à pain
107,Mahebourg,MU,78.26,-20.4081,57.7,scattered clouds,Shandrani Beachcomber Resort & Spa
110,Carnarvon,AU,84.18,-24.8667,113.6333,clear sky,Hospitality Carnarvon
118,Touros,BR,77.54,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
121,Boa Vista,BR,78.78,2.8197,-60.6733,clear sky,Aipana Plaza Hotel
125,Norsup,VU,83.46,-16.0667,167.3833,few clouds,Nabelchel Bungalows
129,Nelson Bay,AU,75.09,-32.7167,152.15,broken clouds,Mantra Nelson Bay
130,Namatanai,PG,83.68,-3.6667,152.4333,overcast clouds,Seagulls Inn Namatani
131,Victoria,HK,82.45,22.2855,114.1577,overcast clouds,Mini Central
133,San Policarpo,PH,82.15,12.1791,125.5072,moderate rain,Agapita M. Nicart
141,Santa Marta,CO,80.89,11.2408,-74.199,few clouds,Hotel La Ballena Azul
142,Natal,BR,77.65,-5.795,-35.2094,few clouds,Villa Park Hotel | Natal
146,Atuona,PF,77.68,-9.8,-139.0333,clear sky,Villa Enata
148,Haldia,IN,80.42,22.0605,88.1097,clear sky,Prayag Balaji Hotel
150,Saint-Leu,RE,77.86,-21.15,55.2833,few clouds,La Caz Oceane
153,Manaus,BR,82.89,-3.1019,-60.025,clear sky,Manaus Hotéis Millennium
158,Vanimo,PG,75.76,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
163,Kavieng,PG,84.43,-2.5744,150.7967,light rain,Nusa Island Retreat
172,Faanui,PF,78.91,-16.4833,-151.75,overcast clouds,Bora-Bora Pearl Beach Resort & Spa
173,The Valley,AI,80.82,18.217,-63.0578,broken clouds,CeBlue Villas & Beach Resort
176,Tautira,PF,78.73,-17.7333,-149.15,light rain,Pension Oaoa
179,Buala,SB,83.08,-8.145,159.5921,scattered clouds,Maringe Lagoon Lodge
180,Vaitape,PF,78.87,-16.5167,-151.75,overcast clouds,Conrad Bora Bora Nui
187,Salalah,OM,84.29,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
195,Miramar,US,81.0,25.9873,-80.2323,clear sky,Stadium Hotel
196,Narwar,IN,76.5,25.65,77.9,clear sky,हनुमान मन्दिर
205,Kloulklubed,PW,77.5,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
206,Sorong,ID,85.75,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
214,Korampallam,IN,86.29,8.7667,78.1,haze,Regency Tuticorin by GRT Hotels
221,Luanda,AO,75.2,-8.8368,13.2343,broken clouds,EPIC SANA Luanda
238,Piacabucu,BR,75.61,-10.4056,-36.4344,few clouds,Piaçabuçu News
242,Sola,VU,83.07,-13.8833,167.55,clear sky,Leumerus Bungalows
243,Biak,ID,84.09,-0.9131,122.8766,overcast clouds,Penginapan Kim
245,Quelimane,MZ,76.95,-17.8786,36.8883,scattered clouds,Hotel Flamingo
248,Bengkulu,ID,84.04,-3.8004,102.2655,light rain,Grage Hotel Bengkulu
252,Lodwar,KE,83.86,3.1191,35.5973,light rain,Solmar Gracious Hotel
259,Ishigaki,JP,78.93,24.3448,124.1572,broken clouds,Hotel Peace Land Ishigakijima
262,Matara,LK,84.42,5.9485,80.5353,overcast clouds,Amaloh Boutique Resort
263,Santa Cruz De La Palma,ES,76.14,28.6835,-17.7642,clear sky,H10 Taburiente Playa
268,Meulaboh,ID,77.88,4.1363,96.1285,overcast clouds,Kost Pria
274,Ahuimanu,US,78.51,21.4447,-157.8378,few clouds,Paradise Bay Resort
281,Belawan,ID,84.49,3.7755,98.6832,overcast clouds,Rumah Mamak Bapak M.Radial
283,Labuhan,ID,85.86,-6.8844,112.2051,moderate rain,DoubleFAG
284,Tuy Hoa,VN,81.03,13.0833,109.3,broken clouds,Hotel Sài Gòn-Phú Yên
285,Soyo,AO,76.84,-6.1349,12.3689,broken clouds,Hospedaria ndozi'ame
288,Itoman,JP,75.58,26.1247,127.6694,broken clouds,Southern Beach Hotel & Resort Okinawa
290,Bandarbeyla,SO,80.53,9.4942,50.8122,few clouds,JABIR HOTEL
291,Waw,SS,78.82,7.7029,27.9953,broken clouds,Universal Gab Hotel
292,Khon Kaen,TH,87.67,16.5,102.0833,scattered clouds,Major Grand
293,Morondava,MG,81.5,-20.2833,44.2833,few clouds,La Case Bambou
297,Auki,SB,81.23,-8.7676,160.7034,scattered clouds,Auki Motel
302,Kandrian,PG,85.37,-6.2167,149.55,light rain,Kandrian Station
310,Manali,IN,84.29,13.1667,80.2667,overcast clouds,Sarathy Lodge
311,Souillac,MU,77.38,-20.5167,57.5167,scattered clouds,Shanti Maurice Resort & Spa
315,Teahupoo,PF,75.16,-17.8333,-149.2667,light rain,Vanira Lodge
319,Bosaso,SO,78.78,11.2842,49.1816,clear sky,Red Sea Hotel
321,Mahuva,IN,85.75,21.0914,71.7622,clear sky,Hotel Blue Diamond.
324,Wahiawa,US,75.52,21.5028,-158.0236,few clouds,The Inn At Schofield
330,Cayenne,GF,77.04,4.9333,-52.3333,few clouds,Hôtel Le Dronmi
332,Harper,LR,77.14,4.375,-7.7169,overcast clouds,Screensaver
333,Cartagena,CO,80.22,10.3997,-75.5144,scattered clouds,Hotel Colombia Real - Cartagena
334,Padang,ID,77.05,-0.9492,100.3543,moderate rain,Mercure Padang
335,Porto Novo,BJ,75.99,6.4965,2.6036,scattered clouds,Tour Eiffel Hotel Benin
341,Banjar,ID,85.75,-8.19,114.9675,overcast clouds,The Hamsa Resort
342,Hobyo,SO,83.16,5.3505,48.5268,scattered clouds,Halane Hotel and Restaurent
348,Paithan,IN,81.45,19.4833,75.3833,clear sky,Prakash lahase
349,Chinsali,ZM,76.03,-10.5414,32.0816,broken clouds,Chisakatu Guest House
353,Amahai,ID,86.52,-3.3333,128.9167,broken clouds,HOTEL ISABELA
355,Mount Isa,AU,89.37,-20.7333,139.5,clear sky,ibis Styles Mt Isa Verona
356,Nizwa,OM,81.39,22.9333,57.5333,clear sky,Orient Apartments
359,Narrabri,AU,76.51,-30.3167,149.7833,broken clouds,Crossroads Hotel
368,Saint-Georges,GD,80.28,12.0564,-61.7485,few clouds,Radisson Grenada Beach Resort
369,Isla Mujeres,MX,78.85,21.2311,-86.731,few clouds,Hotel La Joya Isla Mujeres
377,Balabac,PH,85.23,7.9868,117.0645,overcast clouds,Batalla’s Lodging House
378,Riohacha,CO,75.99,11.5444,-72.9072,overcast clouds,Hotel Taroa
381,Si Bun Ruang,TH,89.02,16.9667,102.2833,scattered clouds,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
384,Kahului,US,75.85,20.8947,-156.47,light rain,Maui Seaside Hotel
391,Lorengau,PG,84.72,-2.0226,147.2712,broken clouds,Lorengau Harbourside Hotel
392,Tarakan,ID,78.3,3.3,117.6333,scattered clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
394,Sai Buri,TH,83.91,6.7013,101.6168,overcast clouds,สวนป่ารีสอร์ท
395,Grand Gaube,MU,78.39,-20.0064,57.6608,clear sky,Veranda Paul et Virginie Hotel & Spa
397,Caravelas,BR,75.36,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
399,Meiktila,MM,84.49,20.8667,95.8667,few clouds,The Floral Breeze Wunzin Hotel
404,Balingasay,PH,86.5,16.3573,119.8564,broken clouds,Rock Garden Resort
408,Devarkonda,IN,80.67,16.7,78.9333,few clouds,సంతోష్ టిఫిన్ సెంటర్
410,Kismayo,SO,82.85,-0.3582,42.5454,broken clouds,Agan-Hotel
416,Amuntai,ID,84.31,-2.4177,115.2494,overcast clouds,Hotel Balqis
423,Noumea,NC,82.38,-22.2763,166.4572,clear sky,Hôtel Le Lagon
424,Kruisfontein,ZA,78.89,-34.0033,24.7314,broken clouds,Oyster Bay House Rental
428,Poum,NC,77.52,-20.2333,164.0167,few clouds,
432,Acapulco,MX,80.42,16.8634,-99.8901,scattered clouds,HS Hotsson Smart Acapulco
435,Inirida,CO,76.77,3.8653,-67.9239,broken clouds,Fuente del Guania Hotel de Lujo
437,Gizo,SB,85.15,-8.103,156.8419,light rain,Imagination Island
449,Cabedelo,BR,75.87,-6.9811,-34.8339,broken clouds,Pousada Camboinha
452,Tura,IN,77.07,25.5198,90.2201,clear sky,Hotel RIKMAN Continental
454,Sampang,ID,89.94,-7.1872,113.2394,light rain,sekretariat IKA STAIN
458,Brokopondo,SR,76.06,4.75,-55.1667,clear sky,Matu Island
468,Alofi,NU,75.09,-19.0595,-169.9187,overcast clouds,Taloa Heights
480,Trairi,BR,78.66,-3.2778,-39.2689,broken clouds,janelas do mar
485,Kralendijk,BQ,82.38,12.15,-68.2667,scattered clouds,Divi Flamingo Beach Resort & Casino
486,Nargana,PA,78.84,9.4428,-78.5906,overcast clouds,Dubbir
488,Atar,MR,77.14,20.5169,-13.0499,broken clouds,Oumou Elghoura
491,Kilindoni,TZ,80.31,-7.9139,39.6668,few clouds,Bustani B&B
493,Ko Samui,TH,76.91,9.5357,99.9357,heavy intensity rain,The Passage
497,Ballina,AU,80.78,-28.8667,153.5667,clear sky,Ramada Hotel & Suites by Wyndham Ballina Byron
499,Yulara,AU,84.79,-25.2406,130.9889,broken clouds,Desert Gardens Hotel - Ayers Rock Resort
500,Kattivakkam,IN,84.29,13.2167,80.3167,overcast clouds,Euronova Freezer
504,Ankazoabo,MG,82.58,-22.2833,44.5167,few clouds,ENCEIN BUREAU CISCO
507,Sawakin,SD,85.51,19.1059,37.3321,clear sky,فندق الدويم
510,Titron,IN,78.87,29.6681,77.3225,scattered clouds,Mehmaannawaz
514,Barra Patuca,HN,77.25,15.8,-84.2833,light rain,
517,Beloha,MG,84.92,-25.1667,45.05,light rain,
522,Lamu,KE,80.82,-2.2717,40.902,overcast clouds,Lamu House
532,Mersing,MY,85.91,2.4312,103.8405,scattered clouds,Timotel Hotel
533,Sitrah,BH,82.4,26.1547,50.6206,clear sky,Al Bander resort
535,Luwuk,ID,86.79,-0.9516,122.7875,overcast clouds,Hotel Santika Luwuk
538,Chor,PK,85.08,25.5167,69.7667,clear sky,Asad U Bajeer Hotel
540,Monrovia,LR,77.38,6.3005,-10.7969,light rain,Sunset Inn
542,Tadine,NC,77.27,-21.55,167.8833,clear sky,
544,Cotonou,BJ,78.87,6.3654,2.4183,scattered clouds,Novotel Cotonou Orisha
551,Lazaro Cardenas,MX,75.45,17.9583,-102.2,overcast clouds,HOTEL QUINTA ANTIGUA
552,Luang Prabang,LA,84.16,19.8856,102.1347,scattered clouds,The Luang Say Residence
558,Micheweni,TZ,83.01,-4.9667,39.8333,clear sky,
560,Macia,MZ,75.79,-25.0269,33.0989,clear sky,Hotel Taskin Macia
561,Manicore,BR,76.6,-5.8092,-61.3003,overcast clouds,Hotel Durval
562,Takoradi,GH,78.03,4.8845,-1.7554,broken clouds,Raybow International Hotel
